,year,weekNumber,month,distance,total_elevation_gain,elapsed_time,pr_count,average_speed,average_watts,average_temp,count
0,2015,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2016,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2017,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2018,0,0.0,12.01622125543816,1318.5655769999998,7099.0,5.0,9.341461440000002,58.3,0.0,1.0
4,2019,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2020,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2015,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2016,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2017,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2018,1,0.0,0.4910503418272219,0.0,3936.0,0.0,14.851044660000001,343.7,0.0,1.0
10,2019,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2020,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2015,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2016,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2017,2,0.0,14.139030453697949,423.22707,4942.0,4.0,12.363567380000001,99.16666666666667,0.0,3.0
15,2018,2,0.0,26.48924798011187,2283.45768,15139.0,3.0,3.882768605,180.13333333333333,37.4,4.0
16,2019,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,2020,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,2015,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,2016,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,2017,3,0.3333333333333333,0.0,0.0,11400.0,0.0,0.0,0.0,0.0,3.0
21,2018,3,0.0,74.08732131758856,3994.082442,27702.0,8.0,7.450352364,140.22500000000002,41.0,5.0
22,2019,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,2020,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,2015,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,2016,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,2017,4,1.0,6.626786824114356,191.27238899999998,5795.0,0.0,10.432342513333333,129.95,0.0,3.0
27,2018,4,0.5555555555555556,70.66507147296457,3865.801989,39229.0,3.0,2.365191226666667,155.7375,41.0,9.0
28,2019,4,1.0,13.520571783716592,656.1659999999999,3089.0,0.0,17.03206116,189.9,50.0,1.0
29,2020,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,2015,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,2016,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,2017,5,1.0,0.0,0.0,9000.0,0.0,0.0,0.0,0.0,3.0
33,2018,5,1.0,20.114294592914856,0.0,19800.0,0.0,4.02201812,180.8,0.0,5.0
34,2019,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,2020,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,2015,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,2016,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,2017,6,1.0,17.304785581106277,950.4564509999999,3591.0,4.0,17.73446032,169.7,0.0,1.0
39,2018,6,1.0,84.87482908638907,5491.453254,31235.0,6.0,4.73224657,168.54000000000002,43.4,6.0
40,2019,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,2020,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,2015,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,2016,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,2017,7,1.1666666666666667,24.674704785581106,1305.1141739999998,12007.0,2.0,8.116363966666666,98.44999999999999,0.0,6.0
45,2018,7,1.0,59.12908638906153,2985.5553,218981.0,4.0,8.184217813333333,152.95000000000002,51.5,6.0
46,2019,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,2020,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,2015,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,2016,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,2017,8,2.0,41.7569297700435,1076.11224,9196.0,17.0,17.45036894,134.0,0.0,1.0
51,2018,8,1.6666666666666667,96.11535114978247,5875.96653,19933.0,7.0,18.125179173333336,231.4,48.20000000000001,3.0
52,2019,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,2020,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,2015,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,2016,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,2017,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,2018,9,2.0,40.34325668116843,1338.57864,9874.0,1.0,15.791677929999999,154.35,37.4,2.0
58,2019,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,2020,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,2015,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,2016,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,2017,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,2018,10,2.0,11.51019266625233,1453.40769,5933.0,0.0,11.2070694,184.2,33.8,2.0
64,2019,10,2.0,29.841889372280917,1585.625139,6851.0,0.0,16.20215642,192.89999999999998,46.4,2.0
65,2020,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,2015,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,2016,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,2017,11,2.0,16.803293971410813,889.10493,4386.0,0.0,16.39005938,148.9,0.0,1.0
69,2018,11,2.0,98.55090118085768,7093.482543,21969.0,2.0,17.661014123333334,214.86666666666667,35.0,6.0
70,2019,11,2.0,5.227905531385955,679.13181,1937.0,0.0,10.553882920000001,526.2,55.400000000000006,1.0
71,2020,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,2015,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,2016,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,2017,12,3.0,95.81914232442512,5283.120549000001,20541.0,5.0,16.916858750000003,169.5,0.0,4.0
75,2018,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,2019,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,2020,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,2015,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,2016,13,3.0,24.605344934742075,0.0,5040.0,0.0,17.571163700000003,0.0,0.0,2.0
80,2017,13,3.0,101.90596643878186,4667.964923999999,23957.0,24.0,16.240631788,145.38,0.0,5.0
81,2018,13,3.0,12.721379738968304,1604.9820359999999,6093.0,0.0,10.173603120000001,113.9,51.8,1.0
82,2019,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,2020,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,2015,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,2016,14,3.0,8.301802361715351,0.0,2160.0,0.0,13.83323696,0.0,0.0,1.0
86,2017,14,3.0,138.26631448104413,6896.30466,27662.0,32.0,17.939699565,169.8,0.0,8.0
87,2018,14,3.0,148.92069608452454,7590.200204999999,37472.0,1.0,16.439831294999998,188.32500000000002,45.5,4.0
88,2019,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,2020,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,2015,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,2016,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,2017,15,3.0,104.86861404599131,5775.901215,29668.0,16.0,14.852163130000003,137.3,0.0,10.0
93,2018,15,3.0,113.05842137973896,9005.878349999999,26239.0,13.0,17.20057730666667,192.8166666666667,41.3,6.0
94,2019,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,2020,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,2015,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,2016,16,3.0,13.102796768178994,0.0,2746.0,0.0,17.17298838,0.0,0.0,1.0
