,year,weekNumber,month,distance,total_elevation_gain,elapsed_time,pr_count,average_speed,average_watts,average_temp,count
0,2015,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2016,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2017,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2018,0,0.0,12.01622125543816,1318.5655769999998,7099.0,5.0,4.176,58.3,0.0,1.0
4,2019,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2015,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2016,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2017,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2018,1,0.0,0.4910503418272219,0.0,3936.0,0.0,6.639,343.7,0.0,1.0
9,2019,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2015,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2016,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2017,2,0.0,14.139030453697949,423.22707,4942.0,4.0,5.527,99.16666666666667,0.0,3.0
13,2018,2,0.0,26.48924798011187,2283.45768,15139.0,3.0,1.73575,180.13333333333333,3.0,4.0
14,2019,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,2015,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,2016,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,2017,3,0.3333333333333333,0.0,0.0,11400.0,0.0,0.0,0.0,0.0,3.0
18,2018,3,0.0,74.08732131758856,3994.082442,27702.0,8.0,3.3305999999999996,140.22500000000002,5.0,5.0
19,2019,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,2015,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,2016,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,2017,4,1.0,6.626786824114356,191.27238899999998,5795.0,0.0,4.663666666666667,129.95,0.0,3.0
23,2018,4,0.5555555555555556,70.66507147296457,3865.801989,39229.0,3.0,1.0573333333333332,155.7375,5.0,9.0
24,2019,4,1.0,13.520571783716592,656.1659999999999,3089.0,0.0,7.614,189.9,10.0,1.0
25,2015,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,2016,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,2017,5,1.0,0.0,0.0,9000.0,0.0,0.0,0.0,0.0,3.0
28,2018,5,1.0,20.114294592914856,0.0,19800.0,0.0,1.798,180.8,0.0,5.0
29,2019,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,2015,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,2016,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,2017,6,1.0,17.304785581106277,950.4564509999999,3591.0,4.0,7.928,169.7,0.0,1.0
33,2018,6,1.0,84.87482908638906,5491.453254,31235.0,6.0,2.1155,168.54,6.333333333333333,6.0
34,2019,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,2015,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,2016,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,2017,7,1.1666666666666667,24.674704785581106,1305.1141739999998,12007.0,2.0,3.6283333333333334,98.44999999999999,0.0,6.0
38,2018,7,1.0,59.12908638906153,2985.5553,218981.0,4.0,3.6586666666666665,152.95000000000002,10.833333333333334,6.0
39,2019,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,2015,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,2016,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,2017,8,2.0,41.7569297700435,1076.11224,9196.0,17.0,7.801,134.0,0.0,1.0
43,2018,8,1.6666666666666667,96.11535114978247,5875.96653,19933.0,7.0,8.102666666666666,231.4,9.0,3.0
44,2019,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,2015,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,2016,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,2017,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,2018,9,2.0,40.34325668116843,1338.57864,9874.0,1.0,7.0595,154.35,3.0,2.0
49,2019,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,2015,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,2016,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,2017,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,2018,10,2.0,11.51019266625233,1453.40769,5933.0,0.0,5.01,184.2,1.0,2.0
54,2019,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,2015,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,2016,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,2017,11,2.0,16.803293971410813,889.10493,4386.0,0.0,7.327,148.9,0.0,1.0
58,2018,11,2.0,98.55090118085768,7093.482543,21969.0,1.0,7.8951666666666656,214.86666666666667,1.6666666666666667,6.0
59,2019,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,2015,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,2016,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,2017,12,3.0,95.81914232442512,5283.120549000001,20541.0,5.0,7.5625,169.5,0.0,4.0
63,2018,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,2019,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,2015,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,2016,13,3.0,24.605344934742075,0.0,5040.0,0.0,7.855,0.0,0.0,2.0
67,2017,13,3.0,101.90596643878186,4667.964923999999,23957.0,24.0,7.2602,145.38,0.0,5.0
68,2018,13,3.0,12.721379738968304,1604.9820359999999,6093.0,0.0,4.548,113.9,11.0,1.0
69,2019,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,2015,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,2016,14,3.0,8.301802361715351,0.0,2160.0,0.0,6.184,0.0,0.0,1.0
72,2017,14,3.0,138.26631448104413,6896.30466,27662.0,32.0,8.01975,169.79999999999998,0.0,8.0
73,2018,14,3.0,148.92069608452454,7590.200204999999,37472.0,1.0,7.34925,188.32500000000002,7.5,4.0
74,2019,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,2015,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,2016,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,2017,15,3.0,104.86861404599131,5775.901215,29668.0,16.0,6.6395,137.3,0.0,10.0
78,2018,15,3.0,113.05842137973896,9005.87835,26239.0,13.0,7.689333333333334,192.81666666666663,5.166666666666667,6.0
79,2019,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,2015,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,2016,16,3.0,13.102796768178994,0.0,2746.0,0.0,7.677,0.0,0.0,1.0
82,2017,16,3.5,193.19807333747673,5747.6860769999985,44426.0,47.0,7.16125,150.13749999999996,0.0,8.0
83,2018,16,3.0,185.25040397762587,12830.341880999998,38478.0,6.0,8.217857142857143,215.11428571428567,12.285714285714286,7.0
84,2019,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,2015,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,2016,17,4.0,27.305904288377874,0.0,5670.0,0.0,7.803999999999999,0.0,0.0,2.0
87,2017,17,4.0,171.24499689247978,4497.361764,33307.0,16.0,8.539,166.83999999999997,0.0,5.0
88,2018,17,4.0,114.50229956494717,4494.7371,28498.0,17.0,6.572428571428572,167.2,22.857142857142858,7.0
89,2019,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,2015,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,2016,18,4.0,22.278247358607832,90.222825,5869.0,0.0,5.673333333333333,62.9,0.0,3.0
92,2017,18,4.0,127.52566811684277,4424.527338,24984.0,22.0,8.4505,161.82,0.0,6.0
93,2018,18,4.0,125.07228091982597,5022.9507300000005,107283.0,13.0,7.322666666666666,185.71666666666667,13.166666666666666,6.0
94,2019,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,2015,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,2016,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
